datetime,code_site,nom_site,latitude_pollution,longitude_pollution,station_meteo,distance_km,NO2,O3,PM10,PM25,temperature,humidity,wind_speed,pressure
2026-03-26 00:00:00,FR01011,Metz-Centre,49.119442,6.180833,AEROPORT METZ-NANCY-LORRAINE,16.23,3.3,65.5,5.5,3.2,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01012,Metz-Borny,49.110283,6.223336,AEROPORT METZ-NANCY-LORRAINE,14.63,3.9,,5.4,,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01014,Pont-à-Mousson,48.915,6.058336,AEROPORT METZ-NANCY-LORRAINE,15.28,,,7.6,,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01016,Atton,48.886387,6.093611,AEROPORT METZ-NANCY-LORRAINE,15.04,4.5,,,,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01018,Scy-Chazelles,49.107502,6.122775,AEROPORT METZ-NANCY-LORRAINE,16.74,3.5,65.3,,,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01020,Thionville-Centre,49.358337,6.156942,AEROPORT METZ-NANCY-LORRAINE,42.61,4.0,,6.2,4.7,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01021,Thionville-Garche,49.394444,6.201392,AEROPORT METZ-NANCY-LORRAINE,46.26,,60.5,,,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01059,HAYANGE-MARSPICH,49.3374,6.08207,AEROPORT METZ-NANCY-LORRAINE,41.5,,,5.5,,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01064,Metz- Pont Grilles,49.12508,6.181219,AEROPORT METZ-NANCY-LORRAINE,16.82,4.0,,7.1,,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR01065,Belleville sur Meuse,49.16778,5.387461,AEROPORT METZ-NANCY-LORRAINE,65.76,2.2,,,4.6,274.95,90.0,6.0,98150.0
2026-03-26 00:00:00,FR02001,Berre l'Etang,43.486233,5.171939,MARIGNANE,6.34,,81.1,,,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR02004,Martigues P. Central,43.41666,5.042731,MARIGNANE,13.82,,87.4,,,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR02008,Port de Bouc Leque,43.40195,4.981919,ISTRES,14.12,,,10.3,2.2,280.95,53.0,9.1,101070.0
2026-03-26 00:00:00,FR02013,Fos Les Carabins,43.458927,4.934572,ISTRES,7.11,,,,5.2,280.95,53.0,9.1,101070.0
2026-03-26 00:00:00,FR02020,Rognac les Brets,43.510803,5.220046,MARIGNANE,8.14,,,,7.2,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR02021,Sausset les Pins,43.331245,5.117696,MARIGNANE,13.99,,84.3,,,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR02022,Arles,43.675114,4.62921,NIMES-GARONS,20.5,2.8,87.7,8.6,2.4,280.35,54.0,7.8,100190.0
2026-03-26 00:00:00,FR02043,Marignane,43.41653,5.222281,MARIGNANE,2.4,2.4,,5.5,2.6,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03006,MARSEILLE RABATAU,43.27645,5.39736,MARIGNANE,23.16,5.4,,14.0,-0.1,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03014,MARSEILLE ST LOUIS,43.34805,5.360119,MARIGNANE,15.33,4.4,,5.9,2.6,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03021,AIX ROY RENE,43.524075,5.448164,MARIGNANE,21.05,4.3,,,2.4,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03027,PLAN AUPS/STE  BAUME,43.3352,5.727365,HYERES,42.86,,88.6,4.1,1.9,282.85,35.0,9.9,100810.0
2026-03-26 00:00:00,FR03029,AIX CENTRE ECOLE ART,43.530285,5.440912,MARIGNANE,20.86,1.7,,6.4,2.4,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03030,GARDANNE,43.453583,5.466672,MARIGNANE,20.31,,,15.5,3.2,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03037,VALLEE HUVEAUNE,43.28334,5.511384,MARIGNANE,29.41,,81.3,,,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03043,MARSEILLE 5 AVENUES,43.305286,5.394716,MARIGNANE,20.62,2.7,78.6,6.2,2.7,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03048,AIX PLATANES,43.55578,5.461232,MARIGNANE,23.74,,82.7,,,281.35,53.0,8.6,100880.0
2026-03-26 00:00:00,FR03064,LA VALETTE/LA GARDE,43.135902,6.011513,HYERES,11.68,,85.6,,10.0,282.85,35.0,9.9,100810.0
2026-03-26 00:00:00,FR03068,TOULON FOCH,43.12682,5.921605,HYERES,18.53,4.5,,9.3,2.6,282.85,35.0,9.9,100810.0
2026-03-26 00:00:00,FR03070,ESTEREL,43.437874,6.76839,CANNES,19.74,0.5,86.1,14.3,3.1,283.65,32.0,8.8,100060.0
2026-03-26 00:00:00,FR03071,TOULON CLARET,43.13111,5.924184,HYERES,18.4,1.2,89.2,10.2,2.8,282.85,35.0,9.9,100810.0
2026-03-26 00:00:00,FR03086,APT,43.88012,5.362038,CARPENTRAS,33.21,,80.6,,,280.05,55.0,6.5,100160.0
2026-03-26 00:00:00,FR03088,CARPENTRAS,44.06035,5.067413,CARPENTRAS,2.69,,82.4,,,280.05,55.0,6.5,100160.0
2026-03-26 00:00:00,FR04002,GENNEVILLIERS,48.93032,2.29435,LE BOURGET,10.57,18.1,,9.1,5.9,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04004,PARIS 18eme,48.891666,2.346667,PARIS-MONTSOURIS,7.81,12.5,62.7,13.5,6.3,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04012,Place Victor Basch,48.827778,2.3275,PARIS-MONTSOURIS,1.02,10.9,,11.5,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04014,PARIS 12eme,48.837223,2.3939,PARIS-MONTSOURIS,4.45,19.3,,,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04017,NEUILLY-SUR-SEINE,48.88139,2.278056,PARIS-MONTSOURIS,7.95,12.0,58.8,,,278.35,70.0,3.3,100770.0
