datetime,code_site,nom_site,NO2,O3,PM10,PM25
2026-03-26 00:00:00,FR01011,Metz-Centre,3.3,65.5,5.5,3.2
2026-03-26 00:00:00,FR01012,Metz-Borny,3.9,,5.4,
2026-03-26 00:00:00,FR01014,Pont-à-Mousson,,,7.6,
2026-03-26 00:00:00,FR01016,Atton,4.5,,,
2026-03-26 00:00:00,FR01018,Scy-Chazelles,3.5,65.3,,
2026-03-26 00:00:00,FR01020,Thionville-Centre,4.0,,6.2,4.7
2026-03-26 00:00:00,FR01021,Thionville-Garche,,60.5,,
2026-03-26 00:00:00,FR01059,HAYANGE-MARSPICH,,,5.5,
2026-03-26 00:00:00,FR01064,Metz- Pont Grilles,4.0,,7.1,
2026-03-26 00:00:00,FR01065,Belleville sur Meuse,2.2,,,4.6
2026-03-26 00:00:00,FR02001,Berre l'Etang,,81.1,,
2026-03-26 00:00:00,FR02004,Martigues P. Central,,87.4,,
2026-03-26 00:00:00,FR02008,Port de Bouc Leque,,,10.3,2.2
2026-03-26 00:00:00,FR02013,Fos Les Carabins,,,,5.2
2026-03-26 00:00:00,FR02020,Rognac les Brets,,,,7.2
2026-03-26 00:00:00,FR02021,Sausset les Pins,,84.3,,
2026-03-26 00:00:00,FR02022,Arles,2.8,87.7,8.6,2.4
2026-03-26 00:00:00,FR02041,SALON,2.6,77.1,4.7,2.5
2026-03-26 00:00:00,FR02043,Marignane,2.4,,5.5,2.6
2026-03-26 00:00:00,FR03006,MARSEILLE RABATAU,5.4,,14.0,-0.1
2026-03-26 00:00:00,FR03014,MARSEILLE ST LOUIS,4.4,,5.9,2.6
2026-03-26 00:00:00,FR03021,AIX ROY RENE,4.3,,,2.4
2026-03-26 00:00:00,FR03027,PLAN AUPS/STE  BAUME,,88.6,4.1,1.9
2026-03-26 00:00:00,FR03029,AIX CENTRE ECOLE ART,1.7,,6.4,2.4
2026-03-26 00:00:00,FR03030,GARDANNE,,,15.5,3.2
2026-03-26 00:00:00,FR03037,VALLEE HUVEAUNE,,81.3,,
2026-03-26 00:00:00,FR03043,MARSEILLE 5 AVENUES,2.7,78.6,6.2,2.7
2026-03-26 00:00:00,FR03048,AIX PLATANES,,82.7,,
2026-03-26 00:00:00,FR03064,LA VALETTE/LA GARDE,,85.6,,10.0
2026-03-26 00:00:00,FR03068,TOULON FOCH,4.5,,9.3,2.6
2026-03-26 00:00:00,FR03070,ESTEREL,0.5,86.1,14.3,3.1
2026-03-26 00:00:00,FR03071,TOULON CLARET,1.2,89.2,10.2,2.8
2026-03-26 00:00:00,FR03080,AVIGNON   MAIRIE,1.2,86.7,4.8,1.8
2026-03-26 00:00:00,FR03084,LE PONTET,2.4,,,
2026-03-26 00:00:00,FR03086,APT,,80.6,,
2026-03-26 00:00:00,FR03088,CARPENTRAS,,82.4,,
2026-03-26 00:00:00,FR03091,Avignon Rocade De Gaulle,0.9,,18.1,4.9
2026-03-26 00:00:00,FR04002,GENNEVILLIERS,18.1,,9.1,5.9
2026-03-26 00:00:00,FR04004,PARIS 18eme,12.5,62.7,13.5,6.3
2026-03-26 00:00:00,FR04012,Place Victor Basch,10.9,,11.5,
2026-03-26 00:00:00,FR04014,PARIS 12eme,19.3,,,
2026-03-26 00:00:00,FR04017,NEUILLY-SUR-SEINE,12.0,58.8,,
2026-03-26 00:00:00,FR04018,AUBERVILLIERS,19.8,,,
2026-03-26 00:00:00,FR04023,CERGY-PONTOISE,,68.9,12.8,
2026-03-26 00:00:00,FR04024,GONESSE,6.6,,,3.7
2026-03-26 00:00:00,FR04029,VERSAILLES,8.0,61.4,,
2026-03-26 00:00:00,FR04031,Av Champs Elysees,14.2,,,4.5
2026-03-26 00:00:00,FR04034,VITRY-SUR-SEINE,8.6,66.7,9.4,5.2
2026-03-26 00:00:00,FR04037,PARIS 13eme,6.3,67.5,,
2026-03-26 00:00:00,FR04038,Zone Rurale SO,3.9,66.2,,
2026-03-26 00:00:00,FR04048,Zone Rurale Nord,,64.6,5.9,3.2
2026-03-26 00:00:00,FR04049,LES ULIS,,71.7,,
2026-03-26 00:00:00,FR04051,ARGENTEUIL,17.2,,,
2026-03-26 00:00:00,FR04055,PARIS 1er Les Halles,10.2,64.9,9.8,5.0
2026-03-26 00:00:00,FR04058,Auto A1 -Saint-Denis,52.1,,16.4,6.7
2026-03-26 00:00:00,FR04059,SAINT-DENIS,14.0,,,
2026-03-26 00:00:00,FR04060,PARIS 7eme,10.3,,,
2026-03-26 00:00:00,FR04063,MANTES-LA-JOLIE,8.8,58.2,,
2026-03-26 00:00:00,FR04066,Zone rurale Sud,,60.6,4.1,2.5
2026-03-26 00:00:00,FR04069,MELUN,9.1,62.5,,
2026-03-26 00:00:00,FR04071,Rue Bonaparte,10.8,,,
2026-03-26 00:00:00,FR04098,LOGNES,11.0,66.9,3.3,
2026-03-26 00:00:00,FR04099,NOGENT-SUR-MARNE,,,8.1,
2026-03-26 00:00:00,FR04100,VILLEMOMBLE,15.1,62.8,,
2026-03-26 00:00:00,FR04101,CHAMPIGNY-SUR-MARNE,9.9,68.3,,
2026-03-26 00:00:00,FR04118,Place de l'Opéra,15.7,,15.3,
2026-03-26 00:00:00,FR04122,RN6-MELUN,12.2,,14.2,6.9
2026-03-26 00:00:00,FR04131,Boulevard Haussmann,13.1,,14.0,1.9
2026-03-26 00:00:00,FR04141,Quai des Celestins,14.1,,,
2026-03-26 00:00:00,FR04142,Zone Rurale Nord-Est,,67.9,,
2026-03-26 00:00:00,FR04149,MONTGERON,11.8,58.9,,
2026-03-26 00:00:00,FR04150,LA DEFENSE,8.1,,,4.2
2026-03-26 00:00:00,FR04156,BOBIGNY,12.3,,8.7,4.9
2026-03-26 00:00:00,FR04158,Zone Rurale NO,,73.9,8.5,
2026-03-26 00:00:00,FR04173,RD934 Coulommiers,,,8.4,5.8
2026-03-26 00:00:00,FR04179,PARIS Stade Lenglen,10.7,,9.2,
2026-03-26 00:00:00,FR04180,RN20 - MONTLHERY,17.8,,,12.0
2026-03-26 00:00:00,FR04181,RAMBOUILLET,,65.2,6.6,3.7
2026-03-26 00:00:00,FR04319,TREMBLAY-EN-FRANCE,11.1,60.2,6.2,
2026-03-26 00:00:00,FR04323,EVRY,13.8,,,
2026-03-26 00:00:00,FR04324,Zone Rurale Est,,67.7,,
2026-03-26 00:00:00,FR04328,Zone Rurale SE,4.4,65.7,7.2,4.8
2026-03-26 00:00:00,FR04329,Bld peripherique Est,12.2,,8.7,6.9
2026-03-26 00:00:00,FR05040,Honfleur Sce Tech.,,85.3,14.7,
2026-03-26 00:00:00,FR05074,Le Havre Ec. Herriot,1.0,82.6,12.9,5.6
2026-03-26 00:00:00,FR05080,Rogerville Mairie,,82.9,,
2026-03-26 00:00:00,FR05082,Touques,,87.3,,
2026-03-26 00:00:00,FR05083,Gonfreville l Orcher,2.4,,10.1,4.7
2026-03-26 00:00:00,FR05084,NDGravenchon Pasteur,4.3,,,
2026-03-26 00:00:00,FR05087,Maison Parc Brotonne,1.6,81.6,6.2,4.1
2026-03-26 00:00:00,FR05089,Le Havre Lafaurie-montant,0.3,,18.7,8.1
2026-03-26 00:00:00,FR05090,Le Havre ville-haute,1.6,85.3,11.6,5.0
2026-03-26 00:00:00,FR06001,Valenciennes Acacias,,,4.5,
2026-03-26 00:00:00,FR06003,Douai Theuriet,6.9,,5.8,3.4
2026-03-26 00:00:00,FR06006,Valenciennes Wallon,8.6,,3.1,2.4
2026-03-26 00:00:00,FR06011,Denain Villars,2.4,77.6,3.7,2.8
2026-03-26 00:00:00,FR06133,Cartignies,2.1,80.0,1.3,1.1
2026-03-26 00:00:00,FR07004,Montferrand,2.8,81.5,7.4,3.9
2026-03-26 00:00:00,FR07022,Paray le Fresil,1.9,78.5,4.0,2.4
2026-03-26 00:00:00,FR07031,Rageade,,86.9,8.2,2.9
2026-03-26 00:00:00,FR07051,Beaulieu,1.7,,8.7,4.2
2026-03-26 00:00:00,FR07052,Aurillac-Lagarde,2.6,86.3,7.2,3.5
2026-03-26 00:00:00,FR07053,Edouard Michelin,2.2,,,
2026-03-26 00:00:00,FR07054,Le Puy-Causans,2.0,79.5,2.7,
2026-03-26 00:00:00,FR07056,Pays du Mezenc,,81.1,,
