code_site,nom_station_officiel,latitude_pollution,longitude_pollution,station_meteo,distance_km
FR19012,Brest Mace,48.38618,-4.4866,BREST-GUIPAVAS,10.3
FR34051,Chateauroux Sud,46.79828,1.693139,CHATEAUROUX  DEOLS,8.75
FR12047,Bessières-ECONOTRE,43.80314,1.595475,TOULOUSE-BLAGNAC,26.71
FR16034,Strasbourg Clemenceau,48.59043,7.744983,STRASBOURG-ENTZHEIM,8.94
FR30026,Luneville,48.584824,6.4839,NANCY-ESSEY,22.43
FR12031,Belesta en Lauragais,43.44139,1.821944,TOULOUSE-BLAGNAC,40.93
FR18055,Creil République,49.26034,2.475004,ROISSY,27.6
FR82512,Besancon rue Vesoul,47.253292,6.016094,BESANCON,2.11
FR35012,LA NOUAILLE - MERA,45.80509,2.062333,GUERET-ST LAURENT,42.09
FR31019,ABOS,43.359722,-0.566944,PAU-UZEIN,12.49
FR07013,Montlucon Chateau,46.34,2.605,GUERET-ST LAURENT,53.55
FR05082,Touques,49.348,0.109253,ST GATIEN DES B,4.57
FR04037,PARIS 13eme,48.82861,2.360278,PARIS-MONTSOURIS,1.82
FR07017,Aurillac Mairie,44.93133,2.445168,AURILLAC,4.88
FR07004,Montferrand,45.79728,3.113833,CLERMONT-FD,2.99
FR20067,Lyon 8ème,45.72827,4.875669,LYON-BRON,5.76
FR09106,ANGOULEME-GAMBETTA,45.651463,0.162391,COGNAC,37.2
FR09206,La Rochelle Trafic,46.158,-1.155999,LA ROCHELLE-ILE DE RE,3.62
FR38003,CAMBAIE,-20.962784,55.296207,GILLOT-AEROPORT,25.39
FR09402,Avenue de Libération,46.570004,0.323575,POITIERS-BIARD,2.74
FR01006,Florange,49.32083,6.14,AEROPORT METZ-NANCY-LORRAINE,38.71
FR38005,CIRFIM,-20.931833,55.30593,GILLOT-AEROPORT,23.55
FR04118,Place de l'Opéra,48.870274,2.3325,PARIS-MONTSOURIS,5.42
FR37002,ST de Pointe à Pitre,16.238056,-61.53754,LE RAIZET AERO,3.67
FR39009,Lamentin,14.610653,-61.002586,LAMENTIN-AERO,1.86
FR37040,ABYMES RN1,16.254086,-61.53713,LE RAIZET AERO,2.48
FR30023,St-Nicolas,48.63334,6.304828,NANCY-ESSEY,8.61
FR38001,LYC. LISLET GEOFFROY,-20.889893,55.46884,GILLOT-AEROPORT,6.22
FR06011,Denain Villars,50.32276,3.39593,LILLE-LESQUIN,34.67
